id;chapilla;clase;modelo;codigo;chapa;estado;anno;ueb;marca
1;optical card Canarias;COMPLEMENTARIO;Bacon Kip Guapo;Interno Lek e-tailers;Corporativo Productor Diseñador;BUENO;5614;PROYECTO;Somali orchestrate
2;Indonesia;PESADO;parsing Ejecutivo Pública;RSS;capacitor Saudi Configurable;NO_DESCRITO;27024;SANTIAGO;Director
3;Honduras haptic;PESADO;facilitate funcionalidad;protocol;Verde;REGULAR;11632;LOGISTICA;revolutionary Home orchestrate
4;cutting-edge;LIGERO;deposit;Account Quetzal Pelota;núcleo systems Coche;BUENO;3024;HOLGUIN;conjunto
5;Consultor Mascotas Ergonómico;LIGERO;invoice;global;system compressing JSON;REGULAR;35565;CIEGO;quantifying Ergonómico
6;Configurable Identidad;COMPLEMENTARIO;Especialista solutions Humano;iterate Avon Ladrillo;generating;NO_DESCRITO;7657;CIEGO;Teclado Intranet
7;programming;COMPLEMENTARIO;Estratega Madera;Riel;Holanda Amarillo;BUENO;68313;SANTIAGO;tangible
8;deposit Hormigon;LIGERO;habilidad Ingeniero Central;Mascotas;Creativo programming SDD;NO_DESCRITO;15068;OC;granular Mesa architectures
9;Marroquinería;LIGERO;Caimán;neural Refinado PCI;sensor Lebanese;REGULAR;52458;PROYECTO;Versatil array
10;Granito Tácticas connect;PESADO;Pound primary Corporativo;Acero de synthesizing;dot-com;REGULAR;58162;OC;exploit Algodón Plástico
